Ticker,Company,Type,ISIN,FIGI,Price,txn_id,units,currency,total,txn_settle_date,txn_type,txn_date,price_type
AAPL,Apple Inc.,Equity,US0378331005,BBG000B9XRY4,243.85,cd_txn-001,57000,USD,13899450,3/1/2024,StockIn,3/1/2024,Price
MSFT,Microsoft Corp.,Equity,US5949181045,BBG000BPH459,418.58,cd_txn-002,92000,USD,38509360,3/1/2024,StockIn,3/1/2024,Price
GOOGL,Alphabet Inc. (Class A),Equity,US02079K3059,BBG009S39JY5,189.43,cd_txn-003,302500,USD,57302575,3/1/2024,StockIn,3/1/2024,Price
META,Meta Platforms Inc.,Equity,US30303M1027,BBG000MM2P62,599.24,cd_txn-004,92000,USD,55130080,3/1/2024,StockIn,3/1/2024,Price
AMZN,Amazon.com Inc.,Equity,US0231351067,BBG000BVPV84,218.19,cd_txn-005,134000,USD,29237460,3/1/2024,StockIn,3/1/2024,Price
TSLA,Tesla Inc.,Equity,US88160R1014,BBG000N9MNX3,373.04,cd_txn-006,88000,USD,32827520,3/1/2024,StockIn,3/1/2024,Price
JNJ,Johnson & Johnson,Equity,US4781601046,BBG000BMHYD1,144.02,cd_txn-007,186000,USD,26787720,3/1/2024,StockIn,3/1/2024,Price
PFE,Pfizer Inc.,Equity,US7170811035,BBG000BMHYD2,26.56,cd_txn-008,1728000,USD,45895680,3/1/2024,StockIn,3/1/2024,Price
JPM,JPMorgan Chase & Co.,Equity,US46625H1005,BBG000BMHYD3,239.4,cd_txn-009,87000,USD,20827800,3/1/2024,StockIn,3/1/2024,Price
BAC,Bank of America Corp.,Equity,US0605051046,BBG000BMHYD4,43.8,cd_txn-010,1330000,USD,58254000,3/1/2024,StockIn,3/1/2024,Price
XOM,Exxon Mobil Corp.,Equity,US30231G1022,BBG000BMHYD5,106.88,cd_txn-011,196500,USD,21001920,3/1/2024,StockIn,3/1/2024,Price
CVX,Chevron Corp.,Equity,US1667641005,BBG000BMHYD6,146.71,cd_txn-012,126000,USD,18485460,3/1/2024,StockIn,3/1/2024,Price
HD,Home Depot Inc.,Equity,US4370761029,BBG000BMHYD7,388.46,cd_txn-013,86000,USD,33407560,3/1/2024,StockIn,3/1/2024,Price
PG,Procter & Gamble Co.,Equity,US7427181091,BBG000BMHYD8,165.98,cd_txn-014,106500,USD,17676870,3/1/2024,StockIn,3/1/2024,Price
KO,Coca?Cola Co.,Equity,US1912161007,BBG000BMHYD9,61.84,cd_txn-015,1410000,USD,87194400,3/1/2024,StockIn,3/1/2024,Price
UNH,UnitedHealth Group Inc.,Equity,US91324P1021,BBG000BMHYDA,504.51,cd_txn-016,57000,USD,28757070,3/1/2024,StockIn,3/1/2024,Price
NVDA,NVIDIA Corp.,Equity,US67066G1040,BBG000BMHYDB,138.31,cd_txn-017,204000,USD,28215240,3/1/2024,StockIn,3/1/2024,Price
NEE,NextEra Energy Inc.,Equity,US65339F1012,BBG000BMHYDC,71.99,cd_txn-018,688000,USD,49529120,3/1/2024,StockIn,3/1/2024,Price
CAT,Caterpillar Inc.,Equity,US1491231015,BBG000BMHYDD,359.77,cd_txn-019,67000,USD,24104590,3/1/2024,StockIn,3/1/2024,Price
LMT,Lockheed Martin Corp.,Equity,US5398301094,BBG000BMHYDE,482.25,cd_txn-020,143000,USD,68961750,3/1/2024,StockIn,3/1/2024,Price
VEA,Vanguard FTSE Developed Markets ETF,ETF,US9219438584,BBG000VZ3D66,47.98,cd_txn-021,392000,USD,18808160,3/1/2024,StockIn,3/1/2024,Price
IEFA,iShares Core MSCI EAFE ETF,ETF,US46434V7525,BBG000VZ3D67,70.57,cd_txn-022,850000,USD,59984500,3/1/2024,StockIn,3/1/2024,Price
VWO,Vanguard FTSE EM ETF,ETF,US9220428588,BBG000VZ3D68,43.92,cd_txn-023,695000,USD,30524400,3/1/2024,StockIn,3/1/2024,Price
EFA,iShares MSCI EAFE ETF,ETF,US4642874659,BBG000VZ3D69,75.35,cd_txn-024,565000,USD,42572750,3/1/2024,StockIn,3/1/2024,Price
SPDW,SPDR Portfolio Developed World ex?US ETF,ETF,US78464A1025,BBG000VZ3D70,34.05,cd_txn-025,1107000,USD,37693350,3/1/2024,StockIn,3/1/2024,Price
US02,US 2-Year Treasury Note,Bond,US912828U816,BBG0000VHYD1,100,cd_txn-026,17500000,USD,17500000,3/1/2024,StockIn,3/1/2024,CleanPrice
US05,US 5-Year Treasury Note,Bond,US912828U857,BBG0000VHYD2,100,cd_txn-027,17500000,USD,17500000,3/1/2024,StockIn,3/1/2024,CleanPrice
US10,US 10-Year Treasury Note,Bond,US912828U865,BBG0000VHYD3,100,cd_txn-028,20000000,USD,20000000,3/1/2024,StockIn,3/1/2024,CleanPrice
US30,US 30-Year Treasury Bond,Bond,US912810U816,BBG0000VHYD4,100,cd_txn-029,30000000,USD,30000000,3/1/2024,StockIn,3/1/2024,CleanPrice
TSCO6.25,TESCO_6.25_2040,Bond,US881578AC87,BBG001CX60X0,100,cd_txn-030,10000000,USD,20000000,3/1/2024,StockIn,3/1/2024,CleanPrice
TSCO6.15,TESCO_6.15_2037,Bond,US881575AC87,BBG001CX59X0,100,cd_txn-031,15000000,USD,30000000,3/1/2024,StockIn,3/1/2024,CleanPrice
KO3.4530,KO_3.45_2030,Bond,US191216CT51,BBGKO9215654,98.25,cd_txn-032,10000000,USD,9825000,3/1/2024,StockIn,3/1/2024,CleanPrice
TDG6.0033,TDG_6.0_2033,Bond,USU8936PBE26,BBGUSU8936PB,96.875,cd_txn-033,37000000,USD,9687500,3/1/2024,StockIn,3/1/2024,CleanPrice
